MWP	ONames	GLON	GLAT	Width	Height	Reff	Hit	Flag	_RA.icrs	_DE.icrs
1G039730-003900S	    	039.730	-00.390	 0.85	 0.76	 0.57	 0.18	2	286.3193	+05.8683
1G040740+001600S	    	040.740	+00.160	 0.75	 0.74	 0.53	 0.18	2	286.2942	+07.0181
1G041150-008900S	    	041.150	-00.890	 0.63	 0.59	 0.43	 0.18	2	287.4234	+06.8989
1G042180+002800S	    	042.180	+00.280	 0.53	 0.48	 0.36	 0.18	 	286.8545	+08.3521
1G042640-002000S	    	042.640	-00.200	 0.73	 0.67	 0.49	 0.18	 	287.4995	+08.5391
1G044810+001000S	    	044.810	+00.100	 0.55	 0.58	 0.40	 0.18	2	288.2478	+10.6018
1G050520+003400S	    	050.520	+00.340	 0.50	 0.50	 0.35	 0.18	 	290.7730	+15.7613
1G052210+007200S	N109	052.210	+00.720	 0.67	 0.62	 0.46	 0.18	2	291.2579	+17.4299
1G296250-008700S	    	296.250	-00.870	 0.69	 0.70	 0.49	 0.18	2	178.0265	-62.9695
1G300510+000700S	    	300.510	+00.070	 0.46	 0.48	 0.33	 0.18	 	187.5726	-62.7023
1G308220-008600S	    	308.220	-00.860	 0.58	 0.55	 0.40	 0.18	 	204.6719	-63.2456
1G308260-003800S	    	308.260	-00.380	 0.58	 0.57	 0.41	 0.18	 	204.5668	-62.7663
1G308920-002400S	    	308.920	-00.240	 0.55	 0.65	 0.42	 0.18	2	205.9181	-62.5029
1G311840-002200S	    	311.840	-00.220	 0.68	 0.64	 0.47	 0.18	2	211.9640	-61.7629
1G312390+001700S	    	312.390	+00.170	 0.56	 0.54	 0.39	 0.18	 	212.8211	-61.2269
1G316100-007100S	    	316.100	-00.710	 0.56	 0.54	 0.39	 0.18	 	220.6110	-60.7119
1G316120+003600S	    	316.120	+00.360	 0.53	 0.53	 0.37	 0.18	 	219.7675	-59.7271
1G320430+001200S	S92 	320.430	+00.120	 0.48	 0.48	 0.34	 0.18	2	227.4045	-57.9785
1G321750-004800S	    	321.750	-00.480	 0.64	 0.61	 0.44	 0.18	 	230.1121	-57.8014
1G322420+002100S	    	322.420	+00.210	 0.67	 0.91	 0.57	 0.18	2	230.4646	-56.8587
1G323220+001900S	    	323.220	+00.190	 0.60	 0.63	 0.43	 0.18	 	231.6992	-56.4348
1G324480-002300S	    	324.480	-00.230	 0.78	 0.77	 0.55	 0.18	 	233.9919	-56.0587
1G324980-003300S	    	324.980	-00.330	 0.55	 0.58	 0.40	 0.18	2	234.8182	-55.8443
1G325910+000500S	    	325.910	+00.050	 0.54	 0.53	 0.38	 0.18	 	235.7267	-54.9821
1G328240-005500S	    	328.240	-00.550	 0.52	 0.52	 0.37	 0.18	 	239.5003	-53.9895
1G332810+005800S	    	332.810	+00.580	 0.80	 0.71	 0.53	 0.18	2	243.7909	-50.0890
1G332990-007000S	    	332.990	-00.700	 0.46	 0.48	 0.33	 0.18	 	245.3990	-50.8789
1G333900-000100S	    	333.900	-00.010	 0.48	 0.49	 0.34	 0.18	 	245.6413	-49.7474
1G337000-000300S	    	337.000	-00.030	 0.55	 0.58	 0.40	 0.18	 	248.9007	-47.5172
1G337310-002000S	    	337.310	-00.200	 0.53	 0.49	 0.36	 0.18	 	249.3951	-47.4020
1G337370-004000S	    	337.370	-00.400	 0.56	 0.57	 0.40	 0.18	 	249.6743	-47.4911
1G338480+000400S	    	338.480	+00.040	 0.67	 0.72	 0.49	 0.18	2	250.2727	-46.3692
1G340450-005600S	    	340.450	-00.560	 0.64	 0.62	 0.45	 0.18	2	252.7638	-45.2615
1G345990+001000S	    	345.990	+00.100	 0.57	 0.52	 0.39	 0.18	 	256.7424	-40.5027
1G346140-001400S	    	346.140	-00.140	 0.46	 0.45	 0.32	 0.18	 	257.1133	-40.5265
1G346340+002600S	    	346.340	+00.260	 0.75	 0.78	 0.54	 0.18	 	256.8503	-40.1268
1G349810+000400S	    	349.810	+00.040	 0.48	 0.47	 0.33	 0.18	 	259.6943	-37.4476
1G354390-004400S	    	354.390	-00.440	 0.60	 0.60	 0.42	 0.18	 	263.3394	-33.9193
1G355260-002400S	    	355.260	-00.240	 0.64	 0.71	 0.48	 0.18	2	263.7044	-33.0802
